Age,Income,CreditScore,EmploymentStatus,Approved
64,90686,665,Self-employed,1
25,55217,650,Self-employed,1
59,108424,900,Salaried,1
24,66261,813,Self-employed,1
26,88536,476,Salaried,0
52,79859,550,Self-employed,0
50,118740,564,Unemployed,0
55,106909,514,Salaried,0
60,82583,499,Salaried,0
36,26451,630,Self-employed,0
33,65943,568,Unemployed,0
62,106126,552,Self-employed,1
50,93403,872,Unemployed,1
39,39903,576,Self-employed,0
37,30802,601,Self-employed,0
39,90865,731,Self-employed,1
48,53288,600,Salaried,0
46,56176,521,Self-employed,0
57,105178,621,Self-employed,1
46,121067,870,Self-employed,1
43,62478,597,Salaried,0
29,83657,549,Salaried,0
32,82772,696,Self-employed,0
21,80073,616,Self-employed,0
21,86217,900,Unemployed,1
54,107694,563,Salaried,1
52,64782,840,Salaried,1
45,39241,777,Salaried,0
60,135700,608,Self-employed,1
21,117682,649,Salaried,1
36,51890,536,Unemployed,0
59,89068,590,Salaried,0
25,115321,607,Unemployed,1
42,107471,667,Self-employed,1
49,98860,494,Unemployed,0
23,79893,684,Salaried,1
32,136819,633,Self-employed,1
46,91625,693,Salaried,1
36,69551,710,Salaried,1
57,111132,625,Salaried,1
42,87881,703,Self-employed,1
49,95493,640,Salaried,1
34,91094,731,Unemployed,1
48,99903,684,Salaried,1
25,55646,669,Salaried,0
50,41466,638,Salaried,1
25,128023,792,Self-employed,1
32,92487,694,Salaried,1
36,108125,504,Unemployed,0
46,32207,598,Self-employed,1
46,117000,624,Unemployed,1
41,69355,649,Salaried,1
59,60813,669,Salaried,1
56,83098,546,Self-employed,1
53,55660,642,Unemployed,1
50,84948,615,Salaried,0
57,80909,769,Unemployed,1
43,116811,540,Salaried,1
30,130400,648,Self-employed,1
25,129445,574,Salaried,1
56,20000,854,Salaried,1
54,56944,788,Salaried,1
51,20000,469,Unemployed,0
30,49193,562,Unemployed,1
39,65514,745,Salaried,1
52,97316,700,Unemployed,0
21,69402,696,Self-employed,1
25,70237,670,Self-employed,1
24,90452,754,Salaried,1
36,33720,735,Self-employed,1
44,59842,618,Salaried,0
36,69893,518,Salaried,0
22,78927,464,Self-employed,0
48,87308,638,Unemployed,0
52,130019,447,Self-employed,0
47,112250,677,Unemployed,1
40,61920,616,Unemployed,0
44,77160,863,Salaried,1
32,75116,687,Salaried,1
55,69575,646,Self-employed,1
53,93175,472,Unemployed,0
53,29206,511,Unemployed,0
63,111421,724,Self-employed,1
57,135806,615,Self-employed,1
32,76904,900,Self-employed,1
23,76319,640,Salaried,1
21,89711,668,Salaried,1
53,115581,505,Self-employed,1
60,75271,754,Unemployed,1
30,113018,548,Unemployed,1
63,99654,707,Salaried,1
64,155848,739,Self-employed,1
49,75140,660,Unemployed,0
33,25719,843,Self-employed,1
32,42011,582,Salaried,0
51,85357,834,Self-employed,1
22,115836,510,Self-employed,1
55,65424,737,Self-employed,0
43,78072,634,Self-employed,0
37,105545,572,Unemployed,1
46,56043,467,Salaried,0
28,66661,621,Salaried,1
49,49968,614,Self-employed,0
46,120346,669,Salaried,1
30,131250,729,Unemployed,1
46,37617,561,Salaried,1
54,80734,843,Salaried,1
61,127217,590,Unemployed,1
27,96960,716,Salaried,1
24,70322,659,Unemployed,1
31,38615,628,Self-employed,1
49,119588,654,Salaried,1
56,95815,546,Unemployed,0
45,40810,607,Salaried,0
41,120696,502,Self-employed,1
56,36987,589,Salaried,0
30,78385,598,Salaried,1
57,77061,742,Unemployed,1
29,133551,613,Self-employed,1
44,77168,600,Salaried,1
55,77060,674,Self-employed,0
55,44107,669,Self-employed,1
56,65788,584,Unemployed,1
38,60481,693,Salaried,1
59,62043,630,Unemployed,1
52,85188,584,Self-employed,1
44,20000,595,Self-employed,0
43,39693,754,Unemployed,1
52,81669,598,Salaried,1
57,88637,678,Salaried,0
32,77997,508,Salaried,0
33,83776,772,Salaried,1
43,72726,585,Salaried,1
45,84444,694,Self-employed,0
55,98024,622,Salaried,1
61,97814,692,Salaried,0
50,64331,698,Salaried,1
37,112452,634,Salaried,1
40,89713,444,Salaried,0
45,121966,770,Self-employed,1
42,127986,634,Salaried,1
33,41718,690,Unemployed,0
39,59229,726,Salaried,1
56,109406,599,Unemployed,1
32,35053,706,Salaried,0
61,127605,567,Self-employed,1
39,74683,692,Self-employed,1
32,102250,652,Unemployed,1
29,81508,603,Self-employed,1
27,43228,655,Unemployed,1
48,116666,533,Self-employed,1
34,167521,683,Self-employed,1
51,69549,695,Unemployed,1
39,75329,688,Self-employed,1
36,20000,815,Self-employed,1
25,125545,639,Salaried,1
55,112352,647,Unemployed,1
32,32998,521,Salaried,0
45,23053,822,Self-employed,1
41,26523,485,Salaried,0
56,104355,675,Salaried,1
43,107349,582,Self-employed,1
36,57299,656,Self-employed,0
59,99977,506,Salaried,0
62,89766,748,Salaried,1
59,73981,544,Salaried,0
34,114105,778,Self-employed,1
51,48851,547,Salaried,0
25,119426,757,Self-employed,1
55,63144,558,Self-employed,0
43,138446,582,Unemployed,1
49,54840,649,Salaried,0
63,74452,556,Salaried,0
31,86757,553,Self-employed,0
38,86569,558,Self-employed,0
32,99724,685,Salaried,1
29,46429,649,Unemployed,0
30,83880,655,Salaried,1
64,89143,614,Salaried,1
37,69167,710,Salaried,1
58,97121,765,Unemployed,1
27,44608,713,Salaried,0
33,75206,627,Salaried,1
60,62404,515,Salaried,0
62,75297,432,Self-employed,0
29,128411,642,Unemployed,1
47,128993,430,Salaried,1
22,123112,628,Salaried,1
25,71132,804,Salaried,1
49,112228,523,Self-employed,1
57,88370,508,Salaried,1
58,86367,720,Unemployed,0
39,82679,341,Salaried,0
28,137752,691,Salaried,1
21,125975,811,Salaried,1
42,107346,554,Unemployed,1
37,79890,535,Self-employed,0
27,86186,714,Unemployed,1
45,100916,521,Salaried,1
24,69351,739,Salaried,1
56,113149,530,Self-employed,0
26,57362,844,Self-employed,1
51,96755,722,Self-employed,1
39,20000,654,Salaried,1
64,68481,838,Salaried,1
59,147330,763,Salaried,1
47,116085,690,Self-employed,1
30,131064,445,Self-employed,0
46,64980,572,Unemployed,1
39,88113,769,Salaried,1
59,123459,506,Unemployed,0
23,103992,565,Salaried,1
33,100256,537,Salaried,1
48,133917,694,Unemployed,1
40,53786,755,Self-employed,1
48,79472,756,Self-employed,1
28,32377,556,Self-employed,0
61,52146,692,Salaried,0
59,117225,551,Self-employed,1
21,57479,626,Unemployed,0
23,107065,707,Salaried,1
33,134754,766,Self-employed,1
48,79661,413,Self-employed,0
45,100595,660,Salaried,1
53,107299,804,Salaried,1
58,48355,675,Salaried,1
26,66506,659,Self-employed,1
64,54890,588,Unemployed,0
52,68898,801,Self-employed,1
41,106483,593,Salaried,1
36,67144,638,Self-employed,0
41,83945,598,Unemployed,0
31,53726,661,Salaried,0
57,121792,806,Unemployed,1
56,68646,550,Self-employed,0
55,130689,662,Salaried,0
39,86827,693,Salaried,0
40,42790,560,Self-employed,0
38,79869,643,Self-employed,0
61,53116,853,Unemployed,1
34,102680,455,Self-employed,0
35,77159,603,Salaried,1
51,89896,677,Salaried,0
21,73919,608,Self-employed,0
23,68339,900,Salaried,1
36,55791,710,Self-employed,0
43,110086,535,Salaried,0
31,79805,392,Salaried,0
32,75559,687,Salaried,1
30,79053,566,Salaried,1
52,64634,791,Self-employed,1
36,75659,619,Salaried,0
28,91168,587,Unemployed,0
58,53975,585,Self-employed,0
32,58319,758,Salaried,1
44,126348,695,Salaried,1
48,74117,843,Self-employed,1
28,68453,626,Salaried,1
48,44683,744,Unemployed,1
56,110520,746,Self-employed,1
46,53322,724,Salaried,0
28,84541,593,Self-employed,1
48,33754,702,Salaried,1
48,109545,639,Salaried,1
57,120305,636,Unemployed,1
61,99535,561,Salaried,0
56,38965,416,Self-employed,0
47,110162,787,Unemployed,1
37,60179,697,Salaried,1
29,49870,502,Salaried,0
53,73496,728,Salaried,0
40,72898,789,Salaried,1
33,69848,735,Salaried,1
48,123210,551,Unemployed,0
49,145354,569,Unemployed,1
33,43925,589,Self-employed,0
55,64335,744,Salaried,1
26,89282,702,Unemployed,1
38,73338,900,Self-employed,1
25,96981,469,Salaried,1
45,112479,644,Salaried,0
22,107480,437,Salaried,0
30,103292,715,Unemployed,1
50,134772,767,Self-employed,1
25,37331,808,Self-employed,1
53,129403,670,Self-employed,1
21,72610,439,Self-employed,0
38,108553,644,Salaried,1
52,54110,698,Self-employed,1
31,57745,539,Unemployed,0
41,104863,620,Salaried,0
46,27138,509,Unemployed,1
45,114683,582,Salaried,1
42,122798,750,Salaried,1
47,90333,724,Self-employed,1
33,89252,496,Unemployed,0
53,59990,572,Salaried,1
54,105233,656,Self-employed,1
61,95429,674,Salaried,1
55,57354,577,Self-employed,0
21,73255,702,Salaried,1
41,80219,646,Salaried,1
26,73215,366,Salaried,0
48,44112,587,Salaried,0
37,105970,583,Salaried,1
25,77694,724,Self-employed,1
51,85460,726,Salaried,1
25,67652,466,Salaried,1
58,99258,698,Salaried,1
23,90960,641,Salaried,1
43,121383,663,Salaried,1
57,99417,582,Salaried,1
57,78919,643,Salaried,0
30,62808,776,Salaried,1
30,110978,662,Self-employed,1
39,76522,645,Self-employed,0
37,79848,597,Salaried,0
41,79840,765,Salaried,1
34,72951,509,Salaried,0
29,80363,561,Salaried,0
21,142786,502,Salaried,1
33,53565,672,Self-employed,0
24,60564,779,Salaried,1
21,126529,613,Unemployed,1
60,73755,532,Salaried,0
52,71481,830,Self-employed,1
54,116045,699,Self-employed,1
48,42394,680,Salaried,1
51,109643,629,Salaried,1
28,86368,723,Self-employed,1
59,98944,678,Unemployed,1
46,98380,597,Salaried,1
54,66160,615,Salaried,1
23,116535,537,Salaried,1
32,68495,524,Salaried,0
21,97265,617,Unemployed,1
64,122131,776,Self-employed,1
25,126367,536,Salaried,1
50,76986,742,Salaried,1
50,98894,562,Salaried,1
37,74215,453,Unemployed,0
43,160113,710,Unemployed,1
35,108403,829,Salaried,1
57,87521,555,Salaried,0
41,94376,477,Unemployed,0
34,97213,700,Salaried,1
22,98102,548,Salaried,1
31,77800,709,Salaried,1
59,73170,776,Salaried,1
58,80444,686,Salaried,1
54,50809,739,Unemployed,0
58,106548,739,Self-employed,1
54,60948,758,Salaried,0
38,53201,654,Salaried,1
50,84569,735,Self-employed,1
35,81096,668,Salaried,1
47,92489,693,Salaried,1
54,67953,900,Salaried,1
58,73223,676,Self-employed,1
53,105763,485,Salaried,0
44,103936,628,Salaried,0
35,102685,615,Salaried,1
50,86019,620,Salaried,1
62,90067,754,Unemployed,1
37,91913,774,Self-employed,1
25,65318,638,Salaried,1
49,129221,496,Salaried,1
24,124947,660,Self-employed,1
30,108827,590,Salaried,0
37,72224,673,Self-employed,1
30,101174,636,Self-employed,1
37,114351,783,Salaried,1
40,48304,680,Unemployed,0
44,135835,590,Salaried,1
25,32818,497,Salaried,0
54,106138,644,Self-employed,1
26,128598,645,Unemployed,1
22,81608,621,Self-employed,1
33,80486,735,Self-employed,0
63,105029,497,Salaried,0
63,140556,566,Salaried,1
31,76567,655,Salaried,0
43,61571,588,Self-employed,0
36,72286,610,Salaried,0
51,38424,643,Salaried,1
31,111932,725,Unemployed,1
36,69577,638,Salaried,1
28,78749,433,Salaried,1
24,112288,583,Salaried,1
60,73692,704,Salaried,1
24,107772,733,Salaried,1
45,53857,739,Salaried,1
23,113761,771,Salaried,1
52,95257,663,Salaried,1
23,82342,678,Salaried,1
47,88926,538,Salaried,0
49,46397,410,Salaried,0
52,88240,494,Salaried,0
39,80749,572,Salaried,1
41,47217,500,Unemployed,0
25,64867,617,Unemployed,1
38,81122,599,Salaried,1
48,66781,753,Salaried,1
62,20000,543,Self-employed,0
42,117291,665,Self-employed,1
41,80737,603,Unemployed,0
26,20000,539,Salaried,0
21,149048,569,Self-employed,1
25,122241,424,Unemployed,1
61,74530,732,Salaried,1
32,59725,804,Salaried,1
46,97095,620,Salaried,1
54,91069,653,Salaried,1
34,101262,617,Salaried,1
46,59811,559,Self-employed,0
47,117933,727,Salaried,1
29,70796,685,Salaried,0
46,105422,329,Unemployed,0
42,61091,536,Salaried,0
50,164444,424,Salaried,1
63,105865,821,Salaried,1
37,171526,631,Salaried,1
46,109828,676,Salaried,1
56,68156,611,Unemployed,0
21,109881,771,Salaried,1
28,112017,744,Self-employed,1
55,96199,626,Salaried,1
35,103911,838,Unemployed,1
42,107851,670,Self-employed,1
34,55189,489,Unemployed,0
46,53054,661,Salaried,1
48,61173,706,Unemployed,0
43,88826,635,Unemployed,1
34,78304,604,Self-employed,0
44,55732,844,Salaried,1
22,108259,519,Salaried,1
46,93491,345,Salaried,0
34,90067,828,Salaried,1
27,77260,515,Self-employed,1
23,73653,618,Self-employed,1
43,59760,608,Self-employed,1
63,113012,785,Salaried,1
38,63895,807,Salaried,1
58,91281,507,Salaried,0
55,134860,799,Salaried,1
35,75032,797,Self-employed,1
45,113821,652,Salaried,1
57,102061,752,Self-employed,1
48,94344,763,Salaried,1
30,97910,622,Unemployed,1
59,82152,632,Salaried,1
37,86043,714,Salaried,1
59,68556,470,Salaried,0
42,86243,611,Salaried,0
46,67443,517,Self-employed,0
64,115169,806,Self-employed,1
45,34015,609,Salaried,0
37,99431,680,Salaried,1
33,95097,625,Self-employed,1
40,92380,618,Salaried,1
45,115734,673,Salaried,1
24,76416,569,Unemployed,1
30,92663,628,Salaried,0
23,33503,627,Self-employed,0
61,72540,603,Self-employed,0
38,110672,693,Unemployed,1
56,44825,600,Self-employed,0
42,89792,827,Salaried,1
54,64674,719,Salaried,0
28,81670,501,Unemployed,0
60,66469,710,Salaried,1
64,47584,574,Self-employed,1
39,96580,664,Unemployed,0
62,83512,569,Self-employed,1
61,103378,408,Salaried,0
57,108833,647,Salaried,1
26,121757,492,Salaried,1
46,89004,696,Salaried,1
54,123058,669,Unemployed,1
26,55726,583,Self-employed,1
57,112268,850,Self-employed,1
53,98781,513,Salaried,1
42,91992,581,Salaried,1
41,98341,526,Salaried,1
26,56177,874,Salaried,1
26,49097,798,Salaried,1
24,136294,493,Salaried,1
50,79938,559,Salaried,0
31,79510,562,Salaried,0
50,51930,589,Unemployed,0
51,40546,535,Salaried,0
44,82350,583,Self-employed,0
29,74752,760,Salaried,1
23,85052,864,Salaried,1
51,87614,480,Salaried,0
60,159683,535,Self-employed,1
57,74842,673,Salaried,1
56,132398,476,Salaried,0
44,134260,676,Unemployed,1
51,107608,709,Salaried,1
26,77946,727,Salaried,0
22,44155,706,Salaried,1
40,99338,591,Salaried,1
48,115564,630,Self-employed,1
31,137430,520,Self-employed,1
24,56501,701,Salaried,1
35,77694,826,Salaried,1
26,56684,700,Self-employed,0
50,65995,573,Salaried,0
58,104931,759,Unemployed,1
22,64620,900,Salaried,1
35,60271,676,Self-employed,0
31,108909,710,Unemployed,1
28,98522,724,Self-employed,0
46,95500,473,Salaried,0
64,65413,604,Self-employed,0
25,123790,593,Self-employed,1
26,85434,741,Self-employed,1
46,156405,729,Salaried,1
24,89834,636,Self-employed,1
39,20000,586,Salaried,0
40,20000,464,Salaried,0
53,103718,648,Self-employed,1
40,124014,544,Salaried,1
32,61485,531,Self-employed,0
21,148029,751,Unemployed,1
46,134889,740,Unemployed,1
34,91316,596,Self-employed,1
58,101183,477,Salaried,1
57,111835,559,Salaried,0
31,141699,759,Salaried,1
56,105464,701,Salaried,1
33,90637,598,Salaried,1
63,105169,656,Self-employed,0
23,101120,421,Salaried,0
53,112732,413,Salaried,0
26,37899,867,Self-employed,1
30,94475,705,Salaried,1
25,98813,650,Salaried,1
43,82814,606,Salaried,1
30,108524,456,Self-employed,0
64,142635,759,Self-employed,1
22,89146,524,Self-employed,0
33,105751,727,Salaried,1
60,133187,664,Self-employed,1
22,89846,644,Self-employed,1
40,58346,506,Salaried,0
21,103473,508,Salaried,0
57,20000,692,Self-employed,0
29,20000,658,Salaried,0
37,94990,655,Self-employed,0
29,20000,681,Salaried,1
31,45544,436,Self-employed,0
35,73597,761,Salaried,1
44,63357,610,Salaried,1
58,80565,778,Salaried,1
55,118386,429,Unemployed,0
50,92154,712,Unemployed,1
51,59820,711,Self-employed,1
25,125633,486,Self-employed,1
64,42134,579,Salaried,0
34,91656,533,Self-employed,0
31,38797,744,Salaried,0
29,92569,683,Salaried,1
54,75441,825,Salaried,1
32,117467,672,Salaried,1
55,106620,730,Salaried,1
55,67385,778,Salaried,1
21,61631,710,Salaried,1
60,75547,607,Self-employed,0
42,141267,587,Salaried,1
